index,additionalInformation,assesmentMethods,availableEnglish,cefrLevel,code,content,courseStatus,courseUnitId,credits,endDate,gradingScale,homepage,id,languageOfInstruction,languageOfInstructionCodes,learningOutcomes,level,literature,name,organizationId,prerequisities,registration,startDate,substitutes,teacherInCharge,teachers,teachingPeriod,type,workload
117,Students of the Advanced Energy Solutions master¿s programme and Innovative Sustainable Energy Engineering master¿s programme will complete the course 31E01310 Energy and Environmental Economics (5 cr). All students of the School of Business who wish to take this course will complete 31C01300 Energy and Environmental Economics (6 cr).,"¿ Exercises: 3 home exercises passed¿ Group work: 3 topics passed¿ Case study: scoring 0-5, 40 % of the grading¿ Exam: scoring 0-5, 60 % of the grading  ",True,,31C01300,"Common pool resource use in theory and practice; description and analysis of resource and energy commodity markets; pollution control in theory and practice, with particular emphasis on climate change, energy and environmental policy. Main empirical cases include: investments in nuclear power; emissions trading; pricing and investments in the electricity sector.","BSc (Econ), Economics specialization area, elective course. Aalto course.",1017728499,6,2019-05-27,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31C01300,1133598318,English,['en'],"The objective is to develop understanding of the basic problems in environmental, resource and energy economics. Tools developed for analyzing market failures and instruments for solving them. Familiarize the student with the main challenges in the energy sector, including those related to the environment.",Intermediate,Lecture notes. Other readings assigned during the course.,Energy and Environmental Economics,E703,For students of the School of Business: Principles of Economics (31A00110 or 31A00210) course or equivalent studies.,Course and re-exams via WebOodi.,2019-04-15,,Matti Liski,['Matti Liski'],"V Spring (2018-2019), Otaniemi campus V Spring (2019-2020), Otaniemi campus",course,"The course has 4 learning elements: lectures, exercises, reading assignments, and case study. Lectures (24 h)¿ Conceptual background¿ Main empirical cases Reading assignments (30 h)¿ Readings and own source search¿ 3-5 questions to be analyzed¿ Presenting and debating the outcome in the class Problem sets (24 h)¿ Learning methods for analysis¿ Introduced and discussed in groups during the class¿ 3 x 1 compulsory home exercises, returned next week Case study (66 h)¿ Analyze a case in the energy and environment field¿ Write a 5-10-page report"
118,,"¿    One individual home assignment, 15 % of the grading¿    One group homework, 10% of the grading¿    Presentation on the group homework and discussion, 5 % of the grading¿    Term paper, 30 % of the grading¿    Final exam, 40 % of the grading  ",True,,31C014100,"The course provides an introduction to the Russian economy. We will begin with the insight into economic history of Russia from Tsar Period (starting from Peter the Great) and proceed to the years of transition from Soviet to market economy. We then progress to the discussion of current issues of the economic development of Russia. These issues include economic geography of Russia, Russian financial system, sectorial analysis of the Russian economy, international economic relations of Russia with the rest of the World and some others. Special attention will be given to the current situation in Russia, i.e. Russian economy under sanctions. This will include such issues as the economic and political causes of Russia-Ukraine crisis, Western sanctions on Russia and countersanctions of Russia, the consequences of sanctions for Russia, its main partners and global economy in general.","BSc (Econ.) Economics specialization area, elective course. Aalto course.",1117885558,6,2018-12-12,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31C014100,1133598335,English,['en'],"Students will augment their understanding and knowledge of the Russian economy. The focus of the course is on general structure of the Russian economy, main principles of its functioning and its place and role in the world economy.  ",Intermediate,"Oxford Handbook of the Russian Economy, Edited by Michael Alexeev and Shlomo Weber, 2013. http://ukcatalogue.oup.com/product/9780199759927.do Availability Articles, book chapters, etc. as specified by the instructor. Book chapters of the course book will be uploaded on the course web page.",Russian Economy: Opportunities and Challenges for Doing Business,E703,Principles of Economics (31A00110 or 31A00210) course or equivalent studies.,Course and exam via WebOodi,2018-10-29,,Svetlana Ledyaeva,['Svetlana Ledyaeva'],"II Autumn (2018-2019), Otaniemi campus II Autumn (2019-2020), Otaniemi campus",course,¿    Lectures 22h¿    Home assignments 20h¿    Term paper 50h¿    Class presentation and discussion of group homework  10h¿    Preparing for lectures 20h¿    Revision/self study  20h¿    Preparation for exam 15h¿    Exam 3h¿    Total: 160  
119,,The assessment methods and criteria will be announced in course syllabus.,True,,31C02100,"Formation of cities, urban labor markets and urban structure, land prices, urban policies.","BSc. (Econ), Economics specialization area, elective course",1132605727,6,2019-02-15,0-5,,1133598345,English,['en'],"After the course the student understands the main economic forces that lead to the existence of cities. The student is familiar with the theories related to the emergence of cities and their role on agglomeration, productivity, urban amenities, and congestion. The student is familiar with key/main models of urban economics and understands the determinants of urban land values, and how land values vary within and between cities. The student is familiar with methodologies to evaluate urban characteristics, and the challenges of these methodologies. The student is familiar with the role and challenges related to urban policies.",Intermediate,"To be announced in course syllabus, MyCourses and lectures.",Urban Economics,E703,Principles of economics (31A00110) or REC-XXXXX Real Estate Economics.,Registration through WebOodi.,2019-01-07,,Tuukka Saarimaa,['Tuukka Saarimaa'],"III Spring (2018-2019), Otaniemi campus III Spring (2019-2020), Otaniemi campus",course,160 hours (6 cr). The workload per activity type will be announced in the course syllabus.
120,,"Lectures and exercises, total 30h ¿ Exercises (15% of the final marking) ¿ Essay (35% of the final marking) ¿ Final exam (50% of the final marking) The essay is compulsory to pass the course.",True,,31E00500,"Both traditional theories and new theories based on monopolistic and oligopolistic competition of trade and trade policy are presented and applied rigorously. In addition modern theories of heterogeneous firms, multinational enterprises and foreign direct investments are introduced. We supplement the theoretical analysis with empirical tests to help students catch the essence of these models and better understand how they can be used to address issues related to international trade and international capital movements, and their economic consequences.","MSc(Econ), Economics program, elective course. Aalto course.",1013561551,6,2019-02-19,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E00500,1133599764,English,['en'],The course introduces the students to international trade theory and applied (empirical) trade economics at the level required from applied economist. It provides essential basic knowledge of international economics for Ph.D. level courses.,Advanced,"Charles van Marrewijk (2012) International Economics: Theory, Application, and Policy, second edition, 2012, Oxford University press, required. Availability Other readings assigned during the course.",International Trade,E703,"Two of the advanced Microeconomics courses (31E11000, 31E11100, 31E12000, 31E12100, 31E99906 and 31E13000)",Course and exam via WebOodi.,2019-01-08,,"Yao Pan, Saara Tamminen, Katariina Nilsson Hakkala","['Katariina Nilsson Hakkala', 'Svetlana Ledyaeva']","III Spring (2018-2019), Otaniemi campus III Spring (2019-2020), Otaniemi campus",course,Lectures 24 h + Exercises 6 hPreparing for lectures and exam 98 hEssay 30hExam 4h
121,,"Exercises: 30% of the final marking Exam: 70% of the final marking To pass the course, each of these parts must be passed with at least a grade 1.",True,,31E00700,"The course provides an introduction to the microeconomics of the labor markets. Particular emphasis is given to the interaction of theoretical and empirical modeling. The topics include labor supply, labor demand, wage formation, welfare programs, immigration, minimum wages, human capital, worker turnover and discrimination.","MSc (Econ), Economics program, elective course. Aalto course.",1013561663,6,2019-04-09,0-5,https://mycourses.aalto.fi/course/search.php?search=31E00700,1133599796,English,['en'],"The students understand main theories of labor markets and can use them to analyze new situations. Furthermore, they understand and can implement the main empirical approaches used for testing and quantifying theoretical models.",Advanced,"Borjas, George J.  Labor Economics (6th ed)  (2013) Availability Other readings assigned during the course.",Labor Economics,E703,"Two of the advanced Microeconomics courses (31E11000, 31E11100, 31E12000, 31E12100, 31E99906 and 31E13000) and Empirical Methods for Economists (31C01200, 31C99904, 30C00200 or 30C00500).",Course and exam via WebOodi.,2019-02-26,,Kristiina Huttunen,['Kristiina Huttunen'],"IV Spring (2018-2019), Otaniemi campus IV Spring (2019-2020), Otaniemi campus",course,Lectures 24hExercises 12hPreparing for lectures and exam 96hPreparing for exercises 24hExam 4h
122,This course is meant mainly for students of the Advanced Energy Solutions master's programme and Innovative Sustainable Energy Engineering master's programme. All students of the School of Business who wish to take this course will complete the BSc level course 31C01300 Energy and Environmental Economics (6 cr). Please follow the MyCourses-page of the course 31C01300 Energy and Environmental Economics.,"¿ Exercises: 3 home exercises passed¿ Group work: 3 topics passed¿ Case study: scoring 0-5, 40 % of the grading¿ Exam: scoring 0-5, 60 % of the grading",True,,31E01310,"Common pool resource use in theory and practice; description and analysis of resource and energy commodity markets; pollution control in theory and practice, with particular emphasis on climate change, energy and environmental policy. Main empirical cases include: investments in nuclear power; emissions trading; pricing and investments in the electricity sector.","MSc, Master's programme in Advanced Energy Solutions, Master's programme in Innovative Sustainable Energy Engineering. Aalto course.",1129669381,5,2019-05-27,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31C01310,1133599830,English,['en'],"The objective is to develop understanding of the basic problems in environmental, resource and energy economics. Tools developed for analyzing market failures and instruments for solving them. Familiarize the student with the main challenges in the energy sector, including those related to the environment.",Advanced,Lecture notes. Other readings assigned during the course.,Energy and Environmental Economics,E703,For students of the School of Business: Principles of Economics (31A00110 or 31A00210) course or equivalent studies.,Course and exam via WebOodi.,2019-04-15,,Matti Liski,['Matti Liski'],V (Spring 2019) V (Spring 2020) Otaniemi campus,course,"The course has 4 learning elements: lectures, exercises, reading assignments, and case study. Lectures (24 h)¿ Conceptual background¿ Main empirical cases Reading assignments (20 h)¿ Readings and own source search¿ 3-5 questions to be analyzed Problem sets (24 h)¿ Learning methods for analysis¿ Introduced and discussed in groups during the class¿ 3 x 1 compulsory home exercises, returned next week Case study (66 h)¿ Analyze a case in the energy and environment field¿ Write a 5-10-page report"
123,,"¿ Exercises: 3 home exercises passed¿ Readings: 4 assignments passed¿ Case study: scoring 0-5, 40 % of the grading¿ Exam: scoring 0-5, 60 % of the grading",True,,31E01800,"Deviations from the competitive outcomes due to externalities, private information, imperfect competition, and missing markets.","MSc (Econ), Economics program, elective course. Aalto course.  ",1104298081,6,2018-12-14,0-5,,1133599845,English,['en'],"This is an advanced course on the modern theory of environmental and resource economics that covers the basic environmental externality and resource use problems. The first part of the course focuses on the policy design and instrument choice, including the problems arising from uncertainty and asymmetric information. The second part considers the policies in a general equilibrium context that is relevant for climate change. Lectures cover the theory; readings cover both theory and empirics. The students acquire analytical and reporting skills.",Advanced,To be assigned.Other readings assigned during the course.,Resource and Environmental Economics,E703,,Via WebOodi,2018-10-30,,Matti Liski,['Matti Liski'],"II Autumn (2018-2019), Töölö campus Not lectured 2019-2020",course,"The course has 4 learning elements: lectures, reading assignments, exercises, and case study. Lectures (24 h)¿ Conceptual background¿ Applications and cases introduced Readings (30 h)¿ readings on well-framed problems with real-case connections¿ Readings and own search¿ 3-5 questions to be analyzed¿ Presenting and debating the outcome in the class Problem sets (24 h)¿ Introduced and discussed in groups during the class¿ 3 x 1 compulsory home exercises Case study (66 h)¿ Analyze a case with a topic covered during the course¿ Write a 10-12-page report"
124,,Individual mini-essay 15%Presentation of mini-essay at round-table 10%Term paper 25%Exam 40%Participation in four round-tables 10%.,True,,31E03000,"Emerging economies will likely provide substantial growth opportunities for global investors. But the risks of investing in these economies are not only substantial but also different from those in developed economies. The objective of this introductory course on emerging markets is to provide students with a basic conceptual framework and practical knowledge regarding investments in emerging markets. The unit of analysis of the course ranges from countries to multinational and domestic companies in emerging markets. The course deals with macroeconomics, but also focuses on the unique political and institutional context in emerging and frontier markets. The course consists of four interrelated modules that affect growth and business opportunities in emerging markets. ¿    First module helps to understand the process of economic growth and development, and in so doing develop the ability to analyze an emerging market at the level of the country. ¿    Second module concerns institutional context of investment decisions in emerging markets. ¿    In third module, we will examine companies working in emerging markets and how they must manage investment risks as well as develop strategies to overcome the institutional weaknesses of the environment.¿    Finally, in fourth module, we will have four round tables where students will be asked to take the perspective of different decision-makers, such as politicians, investors, and managers.  ","MSc (Econ.) Economics specialization area, elective course. Aalto course.",1125756549,6,2019-02-20,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E03000,1133599860,English,['en'],Students will augment their understanding and knowledge of the emerging markets that help future managers/economists make better investment decisions in emerging markets.,Advanced,"Articles, book chapters, etc. as specified by the instructor. Availability  ",Investment Decisions in Emerging Markets,E703,This course is only for students who have completed their Bachelor's Degree.,Registration for course and exam via WebOodi.,2019-01-07,,Svetlana Ledyaeva,['Svetlana Ledyaeva'],"III Spring (2018-2019), Otaniemi campus III Spring (2019-2020), Otaniemi campus",course,Lectures 22hHome assignments (round-tables) 30hTerm paper 50hPreparing for lectures 20hRevision/self study 19hPreparation for exam 15hExam 4hTotal 160
125,"This course code is used for registering HECER courses lectured at the University of Helsinki for students studying in the Master¿s programme in Economics at the Aalto University School of Business. Helsinki Center of Economic Research (HECER) is a joint initiative of the three universities (Aalto University Department of Economics, Hanken department of Economics and the University of Helsinki department of Economics). Only students studying in Master´s programme in Economics or doing an advanced minor in Economics have access to this course within the HECER agreement. Students of other programs must apply for JOO flexible study right to the economics master¿s level courses lectured at the University of Helsinki.",,True,,31E09100,"This course code is used for registering Economics courses completed at the University of Helsinki. Through HECER-cooperation master¿s level courses of Economics at the University of Helsinki are available to the students of the Master¿s programme in Economics at Aalto University School of Business and for the students of the Aalto University School of Business who are completing the advanced minor in Economics. The following HECER courses are lectured at the University of Helsinki during study year 2018-2019:Microeconomics 1Microeconomics 2Macroeconomics 1Macroeconomics 2Econometrics 1Econometrics 2Applied Macroeconometrics 1Applied Macroeconometrics 2Contract TheoryMoney and Monetary PolicyGlobalization and GrowthSearch Theory Detailed course descriptions can be found in the University of Helsinki study guide.Please note that all the courses lectured at the University of Helsinki will be 5 credits from the study year 2017-2018 onwards. If student wishes to complete 6 credits, they should complete the course 31E09200 Supplementary Studies in Economics (1 cr) in addition. Please see the Economics programme curriculum for further details.","MSc (Econ), Economics program, elective course",1129656339,5,2018-11-21,0-5,https://mycourses.aalto.fi/course/search.php?search=31E09100,1134510367,English,['en'],,Advanced,,Macroeconomics 1,E703,,Course registration via WebOodi. Search the study events with the code 31E09100 from Aalto WebOodi. Additional information on registration for these courses is available from the Department of Economics study coordinator.,2018-09-05,,N.N./University of Helsinki,[],"I, II, III, IV-V, study year 2018-2019 (see details of different courses from the Economics programme curriculum)",course,
126,"The Competitive Strategy Game (by Severin Borenstein, csg.haas.berkeley.edu) is voluntary and can be replaced by a term paper. The number of participants is restricted and Aalto Economics MSc students have priority. The game groups are formed at the start of the course.",Lectures 24h (Home problem assignments 10% of grading)Strategy Game or Essay (20% of grading)Exam (70% of grading),True,,31E13000,"The course covers monopoly behaviour, oligopolistic markets, firm entry and exit, product differentiation and R&D.","MSc (Econ), Economics program, elective course. Aalto course.",1017457563,6,2019-02-21,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E13000,1133599891,English,['en'],This course provides students with an understanding of the central issues in industrial organisation such as the determinants of market structure and the theory of market conduct. The strategy game facilitates hands-on experience on oligopolistic competition.,Advanced,"Pepall Lynne, D. Richards and G. Norman  Contemporary Industrial Organization:A Quantitative Approach (2011), mandatory. Availability Other material assigned during the course.",Industrial Organization (Micro III),E703,Intermediate Microeconomics (31C00100) and Mathematics for Economists (31C01100).,Course and exam via WebOodi.,2019-01-07,Replaces the course Industrial Organization (31E01100).,PhD Mikko Mustonen,['Mikko Mustonen'],"III Spring (2018-2019), Otaniemi campus III Spring (2019-2020), Otaniemi campus",course,Lectures and exam 28hStrategy Game/Essay and Exercises 40hPreparing for lectures and exam 92h
127,,"¿    Lectures 24h¿    Written exam of 4 hours + 2 retake exams¿    Exam style questions, and suggestions how to answer, will appear on the course webpage before the actual exam¿    The exam can also include more applied questions¿    Exam is 100% of the grading",True,,31E15000,"The course will include topics such as Introduction to Development and Development Economics, Growth Theory,Poverty and Inequality (Measurement), Gender, Democracy and Development, Rural Economy and Agriculture, Fiscal Policy, Labor Markets etc. ","MSc (Econ), Economics program, elective course. Aalto course.",1105506273,6,2018-10-26,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E15000,1133599901,English,['en'],"The course introduces students to the main concepts in development and development economics, whilst also taking a closer look at some specific issues such as: ¿    Poverty and inequality, how they are measured and how they affect economic development; ¿    The key messages from growth models and their implications for developing countries;¿    More specific issues such as gender and development, fiscal policy in developing countries, agriculture etc.",Advanced,A reading list with selected book chapters and articles will be provided around one week before the start of the course.,Development Economics I,E703,,Course and exam via WebOodi,2018-09-10,,N.N. Course organised jointly by HECER and UNU-WIDER,[],"I Autumn (2018-2019), Töölö campus I Autumn (2019-2020), Otaniemi campus",course,Lectures 24hIndependent study 132hExam 4h
128,,"A final exam based on the lectures + readings (50 % of the grade) A group assignment (2-4 people) consisting of: - a presentation of 20 min (10 % of the grade) in the last week of the course - a term paper, which can be either an econometric exercise or an essay based on literature (40 % of the grade)    ",True,,31E16000,"The course is a continuation for the course ¿Development Economics I: Fundamentals¿ and focuses on empirical analysis in development economics. We will study household and individual behavior under different types of market failures and learn how to evaluate the impact of development policy interventions. The overall goal of this course is to help develop your ability to read and critique research in development economics. We will cover development topics related to agriculture development, microfinance, nutrition and health, education, gender, conflict and ethnicity.","MSc (Econ), Economics program, elective course. Aalto course.",1105506327,6,2019-04-10,0-5,https://mycourses.aalto.fi/course/search.php?search=31E16000,1133599913,English,['en'],This course is oriented towards some of the key policy issues in developing countries.,Advanced,Specific book chapters and articles are announced to course participants when the course is active. Course books to be assigned.,Development Economics II,E703,,Course and exam via WebOodi,2019-02-25,,Yao Pan,['Yao Pan'],"IV Spring (2018-2019), Otaniemi campus IV Spring (2019-2020), Otaniemi campus",course,"Lectures 24hPresentation, essay/term paper and independent study 132hExam 4h"
129,,50% Exam50% Assignment,True,,31E23000,"Formulation and use of New Keynesian models for policy making and analysis, role of financial and labor markets in macroeconomic fluctuations, the Great Recession and the problem of very low interest rates, theory of fiscal and monetary policy, analysis of long-term growth and development.","MSc (Econ), Economics program, compulsory course. Aalto course.",1122269474,6,2019-02-22,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E23000,1133599923,English,['en'],"The course develops central areas of macroeconomic theory that are useful for analysis and discussion of policy making. The policy topics covered include foundations of unconventional monetary policies e.g. quantitative easing, the role of financial markets in the recent crisis, current problems and topics in the Euro area and issues in long-term economic growth. Students learn the motivations for policy analysis, become familiar with current policy concerns and acquire analytical skills for assessing these problems.",Advanced,"Main text: Carlin-Soskice: Macroeconomics: Institutions, Instability, and the Financial System Availability Other readings to be assigned",Macroeconomics: Policy,E703,Intermediate courses in mathematical methods for economics and in econometrics,For course and re-exam via WebOodi,2019-01-07,,Seppo Honkapohja,['Seppo Honkapohja'],"III Spring (2018-2019), Otaniemi campus III Spring (2019-2020), Otaniemi campus",course,Contact teaching 24h Exercises 14hEssay 35hExam preparation and independent study 84 h Exam 3h  TOTAL 160h (ECTS)
130,,LecturesEssay (50% of the final marking)Final exam (50% of the final marking),True,,31E40100,"This course documents and explains the history of economic growth. Topics discussed include technological and financial innovation, political and economic institutions, industrialization, international trade, social mobility and inequality. We discuss how cross-country differences in economic development have been explained by differences in geography, culture, institutions and luck, and review work assessing the empirical relevance of these explanations. We also cover research on financial crises and the industrial revolution.","MSc (Econ), Economics program, elective course. Aalto course.",1114187386,6,2018-12-11,0-5,https://mycourses.aalto.fi/course/search.php?search=31E40100,1133599941,English,['en'],"At the end of the course, students will be familiar with (a) the basic facts about long-term economic growth, (b) the main theories for why some places grew rich while others did not, and (c) examples of empirical work attempting to test these theories. In addition, the course will provide historical perspective for understanding the causes and consequences of financial crises.",Advanced,Readings assigned in the course,History of Economic Growth and Crises,E703,"31C01200 Taloustieteen empiiriset menetelmät or 30C00200 Econometrics or 30C00500 Ekonometria, or Capstone course 31C99904 Econometrics and Data Analysis",Course and exam via WebOodi,2018-10-30,,Matti Sarvimäki,['Matti Sarvimäki'],"II Autumn (2018-2019), Töölö campus II Autumn (2019-2020), Otaniemi campus",course,Lectures: 26 hIndependent study: 130 hExam: 4 h
131,"The deadline for the Autumn 2018 seminar is 31.5.2018 and for the Spring 2019 seminar 31.10. 2018. The deadline for the Autumn 2019 seminar is 31.5.2019 and for the Spring 2020 seminar 31.10.2019. The thesis topic must be approved by a faculty member prior to enrollment. Obtaining approval may require some back-and-forth between the student and the faculty, so make sure to start the process well before the deadline. The written research plan is due at the first meeting of the seminar. See http://aalto-econ.fi/gradu for more information. Maximum number of students is 24.","Grading 0-5 based on activity in the seminar, quality of presentations (live presentation, accompanying slides, research plan/topic paper, and main paper), quality of discussion (both in class and on-line), and punctuality. Attendance is required for a passing grade, but one absence may be made up by completing an additional assignment.",True,,31E99905,"Thesis seminar groups start twice a year (period I and III) and last two consecutive periods (I-II, and III-IV). In the first seminar period there are common training sessions and students present their research plans and give a presentation on the wider topic area around their research area. In the second seminar period students present and discuss research findings. Depending on the number of participants, the students may be divided to smaller groups for the student presentation sessions.","MSc (Econ), Economics program, mandatory",1113935520,6,2018-12-11,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E99905,1133601208,English,['en'],"The aim is to learn how to present and discuss research, in both oral and written form. Seminar sessions also provide help for making informed decisions about how to develop the MSc thesis (although the main responsibility is with the individual thesis advisors). Upon completion of the seminar, the student will be able to present and critically evaluate academic research.",Advanced,,Master's Thesis Seminar,E703,,Registration by email to Mikko Mustonen according to instructions given on the course home page. Please also register via WebOodi when the seminar begins to subscribe to the seminar news feeds.,2018-09-11,,Marko Terviö and Mikko Mustonen,"['Marko Terviö', 'Mikko Mustonen']","I - II (Autumn 2018), Töölö campus and III - IV (Spring 2019), Otaniemi campus I - II (Autumn 2019) and III - IV (Spring 2020), Otaniemi campus",course,"Seminar sessions during two lecture periods, 24h, topic (research plan) presentation, main presentation, active participation in discussions, and acting as the designated discussant of another student¿s main presentation."
132,"This course replaces course 31E12100 Microeconomics: Policy. Starting study year 2017-2018 this course is the Capstone course in the Master's Programme in Economics. Students of the Master's Programme in Economics who have started their master's level studies 1.8.2017 or after that or haven't completed the course 31E12100 Microeconomics: Policy before will complete this course as their Capstone course. Credit transfer and capstone courseWith legitimate grounds (e.g. exchange studies abroad, serious illness ¿ working life and its restraints is not considered a legitimate reason to not complete the capstone course), the student can apply for a credit transfer for a capstone course. However, as a deviation from the common process of credit transfer at the School of Business, the application for credit transfer must be submitted before completing the course represented to substitute the capstone course at the School of Business. The credit transfer should be applied for according to the credit transfer instructions depicted at Into: https://into.aalto.fi/display/eneconomics/Credit+transfer. Based on the credit transfer application, the teacher in charge of the capstone course will decide whether the learning goals for the capstone course can be fulfilled by completing the course the student has represented to substitute the capstone course. The substituting course cannot be a School of Business course.","¿ Exercises: 3 home exercises passed¿ Readings: 4 assignments passed¿ Case study: scoring 0-5, 40 % of the grading¿ Exam: scoring 0-5, 60 % of the grading",True,,31E99906,"Deviations from the competitive outcomes due to externalities, private information, imperfect competition, and missing markets. Policy solutions introduced conceptually and through real cases. Expert lectures on issues in specific sectors.","MSc (Econ), Economics program, compulsory. Aalto course.",1129315915,6,2018-12-10,0 - 5,https://mycourses.aalto.fi/course/search.php?search=31E99906,1133599955,English,['en'],"This class has the objective of developing microeconomic theory for policymaking and market design. The material is applied to policy cases including regulations in telecommunication, competition law, insurance markets, environmental problems, patents and intellectual property, and market designs for the energy sector.  The students learn the basic conceptual motivations for policy designs, become familiar with the main policy questions in the sectors considered, and acquire analytical and reporting skills.",Advanced,To be assigned.Other readings assigned during the course.,Capstone: Microeconomic Policy,E703,"31C01100 Taloustieteen matemaattiset menetelmät, 31C01200 Taloustieteen empiiriset menetelmät or 31C99904 Capstone: Ekonometria ja data-analyysior 30C00300 Mathematical Methods for Economists, 30C00200 or 30C00500 Econometrics",Course and re-exams in WebOodi.,2018-10-29,,Matti Liski,['Matti Liski'],"II Autumn (2018-2019), Töölö campus II Autumn (2019-2020), Otaniemi campus",course,"The course has 4 learning elements: lectures, reading assignments, exercises, and case study. Lectures (24 h)¿ Conceptual background¿ Applications and cases introduced Reading (30 h)¿ readings on well-framed problems with real-case connections¿ Readings and own search¿ 3-5 questions to be analyzed¿ Presenting and debating the outcome in the class Problem sets (24 h)¿ Learning methods and applying to cases¿ Introduced and discussed in groups during the class¿ 3 x 1 compulsory home exercises Case study (66 h)¿ Analyze a case with a topic covered during the course¿ Write a 10-12-page report"
133,Law books are not allowed in the exam.,1. Lectures 18 h and seminar (group work or essay) 6 h (not compulsory) 2. Final exam (100%) on the course literature.,True,,32E11100,"The contents of the course include legal rules of listing, disclosure duties of issuers of securities, legal duties related to public bids, mergers and acquisitions, regulation of insiders and market abuse and the customer relationships of investment service firms. Also law and economics, sociological and information science aspects of information in securities markets and investor relations are discussed.","M.Sc.-degree, advanced elective course in Business Law. Aalto-course.",1013662933,6,2018-10-25,0-5,https://mycourses.aalto.fi/course/search.php?search=32E11100,1133651198,English,['en'],"The aim of the course is to get acquainted with the regulative framework for securities markets and to gain an understanding of the cooperation between legal and business economic factors affecting various forms of corporate finance. Among the practical objectives of the course there are various skills of market related corporate finance, such as an ability to evaluate the influence of legal rules for the choice of optimum forms of corporate finance and skills to produce and interpret information provided in legal rules for securities markets.",Advanced studies,"Rudiger Veil (Editor), Rebecca Ahmling (Translator) (2013 tai myöhempi painos) European Capital Markets Law. Hart Publishing Ltd. Availability",Legal Aspects of Finance,E701,,Via WebOodi. Please see WebOodi for the registration dates.,2018-09-10,,Professor Matti Rudanko,['Matti Rudanko'],"2018-2019: I (Fall 2018), Töölö campus. 2019-2020: not lectured",course,"- Lectures 18 h and seminar (group work or essay) 6 h (not compulsory), professor Matti Rudanko - Self study 133 h - Final exam 3 h"
134,,"1. Lectures 24 h, Prof.Tomi Viitala. Lectures are followed by a written lecture exam 3h. The credit points (0-20) received in the exam may be used to substitute the book Helminen, Marjaana: EU Tax Law ¿ Direct Taxation, and correspond to 40 % of the final grade. 2. Additional 10 credit points (20% of the final grade) may be received by delivering a court case presentation. 3. Students may also complete an international tax assignment. The credit points (0-20) received may be used to substitute the final exam a question from the book Helminen, Marjaana: Finnish International Taxation and the OECD Model Tax Convention on Income and on Capital. 4. Final book exam 3h.",True,,32E29000,"During the course the key concepts and sources of European and international tax law are introduced. The European Court of Justice¿s landmark case law and its implications particularly for Finnish tax laws are examined. In addition, the significance of EU corporate tax directives will be discussed in light of practical examples. The basics of the EU value added tax (VAT) rules on goods and services are also covered.","M.Sc.-degree, advanced elective course in Business Law. Aalto-course.",1113255837,6,2019-02-20,0-5,https://mycourses.aalto.fi/course/search.php?search=32E29000,1133651285,English.,['en'],"After the course students will have basic knowledge of international and European tax law. The course gives readiness to cope with typical cross-border tax problems of multinational companies. Students will become familiar with landmark tax case law of the European Court of Justice and its practical implications for companies. In addition, the students will learn how to find information about international and European tax law.",Advanced studies,"Helminen, Marjaana (2016). Finnish International Taxation. ISBN 9789521078255 Helminen, Marjaana (2017). EU Tax Law ¿ Direct Taxation. ISBN 978-90-8722-337-3 Organisation for Economic Co-operation and Development Committee on Fiscal Affairs (2014) Model Tax Convention on Income and on Capital: Condensed Version 2017. Availability",European and International Tax Law,E701,,Via WebOodi. Please see WebOodi for the registration dates.,2019-01-08,"32E22000 European Tax Law, 32C23000 International Taxation.",Professor Tomi Viitala,['Tomi Viitala'],"2018-2019: III (Spring 2018), Otaniemi campus 2019-2020: III (Spring 2019), Otaniemi campus",course,- Lectures 24 h - Preparing for lectures 26 h - Preparing for exam or home assignment and court case presentaion 79 h - Preparing for lecture exam 28 h - Exam 3 h
135,,Exam (100%) or group work (100%) according to the instructions of the teacher. The group work includes a written report on a selected topic on international tax planning and participation in a case workshop.,True,,32E30001,"The course focuses on topical issues of international corporate taxation such as transfer pricing, anti-tax avoidance rules and corporate social responsibility aspects of international taxation.","KTM-tutkinto, yritysjuridiikan syventävät valinnaiset opinnot. Aalto-course.",1125925054,6,2019-05-29,0-5,https://mycourses.aalto.fi/course/search.php?search=32E30001,1133651301,English.,['en'],The students learn how to analyse and solve tax challenges faced by multinational enterprises and gain understanding of the role of taxation in the decision making process of international enterprises.,Advanced studies,Lecture notes and an extensive package of readings will be distributed on MyCourses.,Tax Challenges for Multinational Enterprises,E701,,Via WebOodi. Please see WebOodi for the registration dates.,2019-04-16,Replaces course 32E30000 Tax Planning of International Enterprises.,Assistant Professor Tomi Viitala,['Tomi Viitala'],"2018-2019: V (Spring 2019), Otaniemi campus 2019-2020: V (Spring 2020), Otaniemi campus",course,- Classroom hours 15 h - Class preparation 77 h - Exam or group work preparation 65 h - Exam 3 h
